year,name,rank,countrycode,networthusbillion,typeofwealth,gender,age,industry,companytype,relationshiptocompany
2014,Andrey Melnichenko,97,RUS,11.4,privatized and resources,male,41,Energy,new,founder
1996,Andronico Luksic,161,CHL,2.2,privatized and resources,male,69,Mining and metals,aquired,founder
2001,Andronico Luksic,387,CHL,1.3,privatized and resources,male,74,Mining and metals,aquired,founder
2014,Aneel Bhusri,1284,USA,1.3,executive,male,48,Technology-Computer,new,partner
2014,Angela Bennett,1565,AUS,1,inherited,female,69,Mining and metals,new,relation
2014,Angela Leong,609,HKG,2.8,inherited,female,52,Real Estate,new,relation
2014,Anil Agarwal,580,IND,2.9,privatized and resources,male,60,Mining and metals,new,founder
2014,Anil Ambani,281,IND,5,inherited,male,54,Diversified financial,new,relation
2014,Anita Zucker,663,USA,2.6,inherited,female,62,Non-consumer industrial,privatization,relation
2001,Ann Kroenke,124,USA,3.4,inherited,female,,Consumer, new,relation
2014,Ann Walton Kroenke,305,USA,4.8,inherited,female,65,"Retail, Restaurant",new,relation
2014,Anne Beaufour,1565,FRA,1,inherited,female,50,Technology-Medical,new,relation
1996,Anne Cox Chambers,58,USA,4,inherited,female,76,Media,aquired,relation
2001,Anne Cox Chambers,21,USA,11.7,inherited,female,81,Media,aquired,relation
2014,Anne Cox Chambers,58,USA,15.5,inherited,female,94,Media,aquired,relation
2014,Anne Gittinger,1270,USA,1.4,inherited,female,78,"Retail, Restaurant",new,relation
1996,Anneliese Brost,173,DEU,2.1,founder non-finance,female,75,Media,new,founder
2001,Anthony Bamford,387,GBR,1.3,inherited,male,55,Constrution,new,relation
2014,Anthony Bamford,367,GBR,4.1,inherited,male,68,Constrution,new,relation
2001,Anthony O'Reilly,421,IRL,1.2,executive,male,64,Media,new,chairman
2014,Anthony Pratt,551,AUS,3,inherited,male,53,Consumer,new,relation
2014,Anthony Pritzker,520,USA,3.1,inherited,male,53,Real Estate,aquired,relation
